OFFICIAL_NAME,COUNTY_NAME,OFFICIAL_SIZE_VALUE,OFFICIAL_MAX_DEPTH_VALUE,PLSS,WBIC
Bass Lake,Rusk,82.72,27,T34N R9W S16 SW NW,2090900
Bass Lake,Polk,111.39,19,T36N R15W S31 NW NW,2450800
Bass Lake,Douglas,51.38,9,T45N R11W S32 NE SE,2744500
Bass Lake,Burnett,82,18,T38N R15W S9 SW NW,2450900
Bass Lake,Waupaca,3,8,T21N R11E S4 NW NW,264200
Bass Lake,Florence,104.13,68,T39N R19E S4 NW NW,702700
Bass Lake,Bayfield,80.51,43,T46N R7W S28 NW NW,2901100
Bass Lake,Portage,27.84,19,T21N R9E S32 NE SE,970100
Bass Lake,Barron,20.29,39,T36N R10W S2 NW SE,1833100
Bass Lake ,Chippewa,4.09,27,T32N R7W S30 SE SE,2348000
Bass Lake T37n R09e S30,Oneida,183.69,20,T37N R9E S31 NW NW,1580300
Bass Lakes,Chippewa,7.54,18,T32N R8W S36 SW SE,2347100
Bass Lakes,Chippewa,2.57,26,T31N R8W S1 NW NE,2347200
Bass Lakes,Chippewa,11.71,27,T31N R8W S2 NE SE,1833500
Bass Lakes,Chippewa,8.02,31,T31N R8W S1 NW SW,2347400
Bass Lakes,Chippewa,14.45,39,T31N R8W S2 NE SE,1833600
Bass Lakes,Menominee,114.38,51,T30N R13E S1 SW NW,352200
Basswood Lake,Bayfield,108.92,15,T46N R8W S13 NW NE,2904900
Bean Lake,Washburn,100.09,35,T40N R10W S22 NE NW,2718500
Beans Lake,Waushara,20.97,12,T19N R10E S10 NE NE,101300
Bear Lake,Waupaca,199.52,62,T23N R13E S32 SE NE,279700
Bear Lake,Oconto,74.84,20,T33N R16E S21 SE SW,471200
Bear Lake,Forest,66.33,20,T35N R16E S17 SW SW,552100
Bear Lake,Barron,1347.73,87,T36N R11W S18 NE NW,2105100
Bear Lake,Price,8.13,5,T39N R2E S8 SE NW,1833900
Bear Lake,Douglas,48.64,10,T45N R14W S10 NE SE,2857700
Bear Lake,Ashland,184.13,9,T41N R4W S36 NW NE,2403200
Bear Lake,Oneida,295.2,20,T38N R5E S24 SW SW,1527800
Bear Lake,Vilas,75.8,33,T43N R6E S25 SE SW,2335400
Bear Lake,Bayfield,27.9,15,T46N R8W S1 SE SE,2901800
Bear Lake,Portage,29.45,28,T23N R9E S27 SE SW,181900
Bear Lake,Washburn,1347.73,87,T36N R11W S18 NE NW,2105100
Bear Paw Lake,Oconto,47.45,20,T31N R17E S8 NE SE,418000
Bear Trap Lake,Polk,247.45,25,T33N R17W S25 SE NW,2618100
Bearskin Lake,Oneida,402.69,26,T37N R6E S1 SW NE,1523600
Bearskull Lake,Iron,80.83,26,T41N R3E S26 SE NE,2265100
Beartrack Lake,Washburn,59.36,36,T42N R13W S18 NW NE,2452300
Beasley Lake,Waupaca,12,47,T21N R11E S4 NW NW,262300
Beaulieu Lake,Shawano,26.6,24,T28N R14E S14 NE NE,182000
Beauregard Lake,Douglas,87.37,20,T45N R10W S35 NW NW,2452400
Beaver Dam Lake,Barron,1163.29,106,T35N R13W S7 SE SE,2081200
Beaver Dam Lake,Dodge,6717.53,7,T11N R14E S4 NW SW,835100
Beaver Lake,Washburn,86.55,16,T40N R10W S11 NW SE,2452600
Beaver Lake,Bayfield,27.62,14,T43N R4W S31 SW SW,1834500
Beaver Lake,Chippewa,4.97,44,T31N R8W S13 NW NE,2179500
Beaver Lake,Ashland,27.62,14,T43N R4W S31 SW SW,1834500
Beaver Lake,Bayfield,14.89,39,T46N R7W S32 SE SW,2755600
Beaver Lake,Chippewa,15.87,43,T32N R8W S28 SE NW,1834700
Beaver Lake,Chippewa,16.56,17,T31N R8W S16 SW NE,1834400
Beaver Lake,Sawyer,47.36,20,T41N R6W S34 NW NW,2415800
Beaver Lake,Waukesha,313.45,46,T8N R18E S27 SW NW,774400
Beaver Lake,Oconto,8.85,20,T28N R19E S11 NW NE,418100
Beaver Lake,Ashland,33.87,10,T44N R4W S8 SW NW,2916200
Beaver Lake,Sawyer,59.04,15,T42N R6W S18 NW SE,2419800
Beaverdam Lake,Ashland,97.29,19,T45N R4W S36 SE SW,2916700
Becker Lake,Calumet,35.16,52.5,T19N R20E S12 SE NW,77300
Beckman Lake ,Green,62.7,12,T1N R6E S3 SW SW,894700
Beechwood Lake,Sheboygan,21.73,20,T13N R20E S17 NE SE,8000
Bell Lake,Bayfield,13.22,35,T46N R8W S12 SW NE,2755700
Bellevue Lake,Bayfield,62.93,45,T46N R7W S29 SW NW,2755800
Benach Lake,Burnett,15.07,40,T40N R15W S29 NW NW,2450100
Benedict Lake,Walworth,75.88,37,T1N R19E S19 NW SW,743900
Benedict Lake,Kenosha,75.88,37,T1N R19E S19 NW SW,743900
Benoit Lake,Burnett,256.24,41,T39N R14W S10 NW SW,2678300
Bentley Lake,Sawyer,2.52,15,T42N R5W S3 SE SW,1834900
Bentley Pond (Dana Pond),Portage,82.87,8,T25N R9E S7 SE SW,1404500
Bergen Springs,Douglas,6.45,4,T43N R12W S24 NE SE,2695600
Bernice Lake,Fond du Lac,31.9,11,T13N R18E S26 NE SE,40900
Berry Lake,Oconto,209.09,27,T28N R17E S19 SE NW,418300
Berry Lake,Menominee,209.09,27,T28N R17E S19 SE NW,418300
