OFFICIAL_NAME,COUNTY_NAME,OFFICIAL_SIZE_VALUE,OFFICIAL_MAX_DEPTH_VALUE,PLSS,WBIC
Florence Lake,Menominee,56.54,29,T31N R13E S33 SW SW,352400
Flynn Lake,Bayfield,64.35,42,T45N R7W S30 NE SE,2762100
Flynn Lake,Bayfield,29.59,9,T46N R8W S3 SE SE,2902800
Foo Lake,Sawyer,3.85,15,T41N R6W S4 SW NE,1849400
Forest Lake,Vilas,467.64,60,T42N R9E S4 SE NW,2762200
Forest Lake,Fond du Lac,50.59,32,T13N R19E S12 SE NW,8900
Forest Lake,Waukesha,22.48,17,T7N R18E S6 NE NE,775800
Forestville Flowage,Door,94.02,5,T26N R25E S29 SW SE,95700
Foster Lake,Waupaca,7.24,15,T23N R11E S31 NW SW,276900
Foster Lake,Chippewa,25.8,20,T32N R8W S14 NW SE,2346100
Found Lake,Vilas,336.35,21,T40N R8E S14 NW NE,1593800
Fountain Lake,Portage,16.49,23,T21N R10E S11 SW NW,262200
Four Ducks Lake,Forest,18.92,20,T39N R12E S3 NW NW,693300
Fourmile Lake,Oneida,209.59,29,T39N R11E S23 SW NE,1610800
Fourth Lake,Oneida,252.94,14,T36N R10E S5 NE SE,1572000
Fowler Lake,Waukesha,96.55,50,T8N R17E S33 NW SW,849400
Fox Lake,Oneida,23.65,15,T36N R7E S26 SE NW,1563400
Fox Lake,Dodge,2713.28,19,T13N R13E S35 NW NE,835800
Frank Lake,Vilas,146.52,38,T41N R8E S18 NW SW,985900
Franklin Lake,Forest,839.38,46,T40N R12E S21 SW SE,692900
Franklin Lake,Oneida,159.16,25,T39N R5E S16 NE SW,986000
Freedom Lakes,Polk,101.8,4,T36N R18W S2 SW NE,2641500
Frels Lake,Bayfield,8.93,30,T43N R6W S31 NE SW,2465100
Fremstadt Lake,Burnett,86.25,22,T40N R16W S16 SE SW,2465200
French Lake,Oconto,27.61,35,T32N R16E S18 NW SW,486700
French Lake,Iron,89.14,16,T41N R3E S17 NW SW,1849600
Friedbauer Lake,Bayfield,19.43,20,T44N R6W S27 NE NW,2734900
Friendship Lake,Adams,124.94,15,T17N R6E S5 NW SW,1352000
Friess Lake,Washington,121.46,48,T9N R19E S17 SW NE,853200
Frog Lake,Bayfield,4.64,5,T46N R8W S25 NW NE,2762300
Frog Lake,Burnett,28.66,12,T41N R14W S23 NW NW,2465300
Frog Lake,Iron,40.06,45,T42N R4E S16 NW SW,1849700
Fuller Lake,Oneida,99.88,15,T39N R4E S10 NW NW,2272000
Fur Farm Lake,Chippewa,9.16,19,T32N R8W S28 NW SW,1849800
Furbush Lake,Forest,11.93,20,T38N R12E S5 NW NE,1614500
Game Lake,Langlade,21.01,37,T33N R11E S26 NW NW,986400
Gander Lake,Douglas,52.36,27,T46N R11W S22 NW NE,2867300
Garden Lake,Bayfield,557.93,23,T43N R6W S13 SW NW,2735500
Garth Lake,Oneida,116.11,22,T38N R6E S21 SW SE,986600
Garvin Lake,Waukesha,17.15,36,T8N R18E S30 SW SE,850700
Gaslyn Lake,Burnett,160.83,12,T39N R14W S5 NE SE,2677700
Gass Lake,Manitowoc,5.98,24,T18N R23E S3 SE SW,67100
Gates Lake,Price,86.64,5,T39N R1E S35 NE NW,2243500
Gates Lake,Ashland,16.86,17,T42N R3W S24 SW SW,1850200
Gem Lake,Forest,9.18,15,T34N R16E S18 SW NE,421100
Geneva Lake,Walworth,5400.99,135,T2N R17E S36 NW SE,758300
George Lake,Oneida,442.67,26,T36N R9E S13 SW NW,1569600
George Lake,Waupaca,5,30,T22N R11E S34 NE SE,265400
George Lake,Bayfield,49.75,50,T45N R9W S18 SE SW,2465700
George Lake,Kenosha,68.85,16,T1N R21E S20 SE NW,735100
Gerber Lake,Sheboygan,7.62,21,T16N R21E S35 SW SE,56700
Gerber Lake,Sheboygan,14.94,37,T16N R21E S35 SW SW,56600
Getsey Lake,Bayfield,18.51,25,T46N R7W S6 NE SW,2762400
Ghost Lake,Bayfield,136.14,30,T43N R5W S29 NW NE,2423900
Ghost Lake,Sawyer,384.04,12,T42N R5W S31 SW NW,2423000
Gibbs Lake,Rock,72.79,23,T4N R11E S27 NW NE,799200
Gilas Lake,Marinette,134.8,88,T31N R19E S18 NE SE,523300
Gilbert Lake,Douglas,5.91,4,T45N R11W S7 NE NW,2466000
Gilbert Lake,Washington,43.15,9,T11N R19E S20 NW NE,25600
Gilbert Lake,Waushara,139.04,65,T20N R11E S15 NE NE,186400
Gilmore Lake,Oneida,313.52,24,T39N R7E S24 SE SW,1589300
Gilmore Lake,Washburn,371.35,36,T42N R12W S9 NW SE,2695800
Giltners Lake,Fond du Lac,16.43,13,T16N R19E S15 NW NW,60900
Glen Lake,Saint Croix,83.59,36.4,T29N R15W S11 SE NW,2071700
Glen Lake,Marinette,49.38,24,T35N R19E S23 NE NE,627200
Glisezinski Lake,Portage,35.12,11,T25N R9E S4 SW NW,987100
Glocke Lake,Oconto,26.99,10,T33N R15E S24 NW NW,421300
Go-To-It Lake,Marathon,11.85,4,T28N R10E S27 NW NW,186500
Godfrey Lake,Burnett,50.53,41,T38N R16W S34 SW SW,2466300
Golden Lake,Jefferson,252.07,44,T7N R17E S30 SW SW,775900
Golden Lake,Waukesha,252.07,44,T7N R17E S30 SW SW,775900
Goodhal Lake,Waupaca,33.05,10,T24N R12E S17 NW NE,281900
Goodman Lake,Sawyer,13.8,15,T42N R5W S32 SW NE,1851000
Goose Lake,Burnett,63.26,6,T40N R14W S2 SW SW,2466500
Goose Lake,Washburn,58.01,11,T39N R13W S14 SW NW,2466400
Goose Lake,Dane,63.33,2.5,T7N R12E S11 NE NE,810200
Goose Lake,Adams,67.06,22,T15N R7E S11 NW SW,103600
Goose Lake,Rusk,19.72,57,T33N R8W S27 SW SW,2353500
Goose Lake,Sawyer,40.79,5,T40N R6W S16 NE NE,1851200
Gooseneck Lake,Waupaca,20.02,17,T21N R11E S24 NE SE,186700
Gordon Lake,Ashland,132.28,28,T43N R2W S33 NE SW,2406500
Graham Lake,Waupaca,54.32,29,T24N R11E S10 SW NE,279300
Grand Lake (Millpond),Green Lake,241.92,8,T14N R12E S7 SW NW,161100
Grand Portage Lake,Iron,147.5,33,T43N R3E S36 NE NE,2314100
Grand Rapids Flowage ,Marinette,306.9,21,T34N R23E S32 SE SE,610700
Granger Lake,Price,14.49,5,T39N R2E S8 NE SE,1851400
Granger Lake,Chippewa,9.53,35,T32N R9W S11 NE SE,2351000
Granite Lake,Barron,154.94,34,T36N R13W S29 SW SE,2100800
Grant Lake,Sawyer,17.56,15,T42N R6W S1 NW SE,2417900
Grass Lake,Shawano,89.7,52,T26N R15E S34 NW SW,299200
Grass Lake,Waukesha,30.41,8,T8N R18E S31 SW NE,775200
Grassy Knoll Lake,Taylor,59.12,6,T32N R1E S31 NW NW,1764400
Grassy Lake,Price,72.49,7,T37N R1W S9 NW SW,2238100
Greater Bass Lake,Langlade,244.05,25,T33N R10E S11 SE NW,1445500
Green Lake,Sawyer,16.4,35,T38N R9W S29 NW SW,1851900
Green Lake,Green Lake,7920.01,236,T16N R13E S21 NW SE,146100
Green Lake,Burnett,250.93,6,T40N R15W S35 NW NW,2467200
Green Lake,Oconto,20.75,25,T31N R16E S13 SE SW,459900
Green Lake,Washington,69.66,37,T12N R20E S33 SE SW,28100
Green Lake,Washburn,28.78,32,T40N R11W S22 SE SW,2467100
Green Lake,Vernon,,6,T11N R7W S9 NW NE,725600
Green Lake,Walworth,282.67,57,T4N R16E S26 SE NE,755800
Grenquist Lake,Polk,58.55,30,T36N R15W S35 NW NE,2669300
Grimh Flowage,Sawyer,61.97,16,T38N R7W S22 SE NE,2385100
Grindstone Lake,Sawyer,3176.33,60,T40N R8W S29 NW NE,2391200
Ground Hemlock Lake,Forest,83.94,44,T35N R13E S33 NE SW,395900
Grover Lake,Douglas,4.51,8,T43N R11W S8 NW SW,2467600
Gull Lake,Washburn,518.46,19,T41N R11W S33 SE SE,2719400
Gull Lake,Burnett,178.32,19,T40N R16W S2 SW NW,2671100
Gunlock Lake,Vilas,263.82,26,T40N R5E S36 SW NW,1539700
Gurholt Lake,Waupaca,31.42,6,T23N R11E S21 SE NE,187000
Gurno Lake,Sawyer,76.22,27,T40N R8W S33 NW SW,2448000
Haack Lake,Sheboygan,16.85,18,T13N R20E S31 SW NW,29300
Hadley Lake,Sawyer,58.56,17,T42N R5W S3 SE NE,2426400
Hadley Lake,Bayfield,58.56,17,T42N R5W S3 SE NE,2426400
Hahns Lake,Jefferson,72.06,10,T8N R14E S25 NE SW,847100
Half Moon Lake,Bayfield,105.94,10,T47N R8W S17 NE NW,2762700
Half Moon Lake,Polk,550.33,60,T35N R17W S25 NW SE,2621100
Halfmoon Lake,Oconto,28.27,38,T31N R18E S1 SW SW,421800
Halfmoon Lake,Eau Claire,135.14,9,T27N R10W S24 SE SE,2125400
Halfmoon Lake,Lincoln,102.49,14,T35N R6E S15 NW NW,988000
Halsey Lake,Florence,505.63,10,T39N R15E S20 NE SW,679300
Halverson Lake,Iowa,9.49,23.3,T7N R3E S35 NE SE,1246300
Ham Lake,Burnett,313.28,29,T40N R15W S7 SE NW,2467700
Ham Lake,Forest,16.19,20,T35N R15E S19 SW NW,421900
Ham Lake,Sawyer,95.68,28,T39N R9W S27 NE SE,1852300
Hammil Lake,Bayfield,77.44,47,T44N R8W S25 SE NE,2467900
Hancock Lake,Oneida,258.63,22,T36N R7E S17 NE SW,1517900
Hanscom Lake,Burnett,117.64,7,T40N R14W S7 NW NE,2674000
Hanson Lake,Oneida,34.72,23,T36N R8E S2 SE NE,988200
Happles Lake,Bayfield,22.82,36,T46N R8W S9 SE NE,2762800
Hardwood Lake,Forest,77.63,25,T35N R14E S17 SW SW,187100
Harmon Lake,Washburn,100.16,33,T38N R11W S13 NE NE,1852500
Harpt Lake,Manitowoc,32.2,54,T21N R23E S17 NE NW,84600
Harriet Lake,Douglas,13.78,15,T43N R11W S7 SW SE,2468000
Harriet Lake,Forest,22.65,15,T40N R12E S33 SE SW,586300
Harris Lake,Vilas,533.93,57,T44N R5E S26 NW SE,2958500
Harris Pond (Harrisville),Marquette,171.87,10,T16N R9E S11 SW SW,165700
Harrison Lake,Washburn,16.74,27,T38N R12W S5 SE SW,2683200
Hart Lake,Bayfield,256.87,54,T47N R8W S34 NW SE,2903200
Hartlaub Lake,Manitowoc,37.41,60,T18N R23E S10 NW SE,67200
Hartman Lake,Waupaca,17.78,9,T21N R11E S6 NW SE,263900
Hartman Lake,Waupaca,17.78,9,T21N R11E S6 NW SE,263900
Harwood Lakes,Chippewa,1,11,T32N R8W S26 SE NW,1853000
Harwood Lakes,Chippewa,10.22,12,T32N R8W S26 SW SW,1852800
Harwood Lakes,Chippewa,2.57,5,T32N R8W S26 SE NW,1853100
Harwood Lakes,Chippewa,15.43,21,T32N R8W S26 SW SE,1852900
Hasbrook Lake,Oneida,307.35,50,T39N R7E S26 SE NE,1589100
Hasmer Lake,Washington,12.82,34,T10N R20E S18 SW SW,24000
Hatch Lake,Waupaca,113.35,12,T24N R11E S24 SE SW,282800
Haugen Lake,Washburn,34.82,6,T37N R11W S31 SE SE,1853200
Haugen Lake,Douglas,26.42,21,T43N R10W S7 SE NW,2468300
Hawk Lake,Oneida,10.11,28,T38N R7E S23 SW NW,988800
Hay Lake,Bayfield,59.73,21,T46N R7W S7 SE SE,2901600
Hay Lake,Ashland,101.71,5,T40N R1E S1 NE SE,2259400
Hay Lake,Iron,101.71,5,T40N R1E S1 NE SE,2259400
Hay Lake,Washburn,77.71,9,T41N R11W S36 NE NE,2720800
Hay Lake,Price,101.71,5,T40N R1E S1 NE SE,2259400
Hay Meadow Flowage No. 1,Chippewa,16.3,42,T31N R8W S14 NE SW,2178900
Hayman Falls Pond,Shawano,80,14,T26N R14E S7 SE NW,305000
Hayton Pond 104,Calumet,17.29,5,T18N R20E S16 SW SW,79800
Hayward Lake,Sawyer,191.29,17,T41N R9W S27 NW SW,2725500
Heidmann Lake,Kewaunee,23.26,34,T22N R23E S28 SE SE,85200
Helen Lake,Vilas,102.13,19,T43N R9E S30 NE NW,2964400
Helmet Lake,Vilas,7.32,36,T43N R7E S20 NW NE,2763200
Hemlock Lake,Chippewa,29.62,16,T31N R8W S16 SE NW,1853400
Hemlock Lake,Oneida,37.99,25,T39N R7E S8 SW SW,989200
Hemlock Lake,Barron,364.48,21,T36N R10W S27 SE SE,2109800
Henderson Lake,Bayfield,32.57,5,T45N R9W S33 SE NW,2468800
Henneman Lake,Chippewa,68.69,59,T32N R8W S16 SW NW,2352500
Henrietta Lake,Waukesha,22.99,7,T7N R17E S35 SE SE,776600
Henry Lake,Trempealeau,40.16,10,T21N R7W S16 NE SW,1800500
Herby Lake,Polk,62.62,36,T36N R18W S19 SE NW,2468900
Heron Lake,Sawyer,30.33,25,T38N R9W S28 SE SW,2115900
Hewitt Lake,Iron,78.56,88,T44N R4E S15 NE NW,2763300
Hiawatha Lake,Vilas,36.28,58,T43N R5E S23 SE SE,2328400
Hidden Lake,Oconto,34.42,40,T33N R16E S8 NW SW,472900
High Falls Reservoir,Marinette,1471.38,54,T32N R18E S1 NW SE,540600
High Lake,Langlade,26.01,13,T33N R11E S27 SW SW,1444600
High Lake,Vilas,741.05,36,T42N R7E S1 NW SE,2344000
High Life Lake,Douglas,19.92,2,T45N R10W S23 NE NW,2469100
Highland Lake,Chippewa,11.43,18,T32N R8W S34 SW SW,2173300
Hilbert Lake,Forest,278.19,32,T37N R17E S6 SW SE,501200
Hilbert Lake,Marinette,278.19,32,T37N R17E S6 SW SE,501200
Hilburn Pond,Walworth,12.56,4,T4N R18E S22 SE NE,754200
Hildebrand Lake,Bayfield,15.38,42,T43N R6W S31 SW NE,2469300
Hildur Lake,Bayfield,63.13,66,T46N R8W S2 SE NW,2902600
Hillis Lake,Vilas,11.36,26,T40N R6E S35 NW NE,990300
Hills Lake,Waushara,124.68,22,T19N R11E S2 NW NE,182100
Hills Lake,Waushara,78.45,20,T18N R11E S8 SE NE,105200
Hilts Lake,Lincoln,60.87,64,T35N R8E S15 NE NE,1564600
Hilts Lake,Lincoln,60.87,64,T35N R8E S15 NE NE,1564600
Himley Lake,Forest,144.82,15,T34N R14E S4 NW NW,378900
Himple Lake,Chippewa,5.43,38,T31N R8W S35 NE NE,1853600
Hintz Lake,Portage,41.22,6,T24N R10E S21 NW SW,187900
Hixon Lake,Oneida,57.5,28,T36N R9E S29 NW NW,1568900
Hodge Lake,Chippewa,38.04,33,T32N R8W S30 NE SW,1853700
Hodstradt Lake,Oneida,119.44,36,T38N R7E S1 SW SE,990700
Hoinville Lake,Washburn,59.59,23,T41N R13W S21 NW NE,2469400
Holcombe Flowage,Rusk,2880.7,62,T32N R6W S28 SW NW,2184900
Holcombe Flowage,Chippewa,2880.7,62,T32N R6W S28 SW NW,2184900
Holcombe Flowage,Chippewa,2880.7,62,T32N R6W S28 SW NW,2184900
Holcombe Flowage,Rusk,2880.7,62,T32N R6W S28 SW NW,2184900
Hollibar Lake,Bayfield,6.41,20,T46N R7W S17 SE SE,2763700
Holmes Lake,Burnett,56.63,26,T37N R19W S25 SE SE,2638400
Homme Pond,Shawano,36.17,13,T27N R11E S3 SW SE,312600
Honey Lake (Vienna),Walworth,40.01,6,T3N R18E S13 SE SE,752300
Hooker Lake,Kenosha,103.25,24,T1N R20E S11 NE SW,738400
Hope Lake,Sawyer,6.69,20,T42N R6W S1 NE SW,2418200
Hope Lake,Jefferson,107.74,24,T6N R13E S5 NW NW,809800
Horn Lake,Oconto,131.38,11,T33N R15E S20 SE SE,467100
Horse Lake,Polk,221.29,11,T33N R18W S27 SE SE,2616200
Horsehead Lake,Oneida,377.19,11,T38N R7E S22 NE SE,1588000
Horsehead Lake,Vilas,250.01,24,T43N R6E S2 NW NW,2953100
Horseshoe Lake,Polk,126.98,8,T33N R17W S20 SW SW,2465600
Horseshoe Lake,Barron,398.08,57,T34N R14W S6 SW SW,2630100
Horseshoe Lake,Chippewa,19.53,15,T32N R9W S25 SE NW,1854400
Horseshoe Lake,Lincoln,15.25,37,T33N R7E S29 SE NE,991500
Horseshoe Lake,Chippewa,26.73,28,T32N R8W S33 NE NE,1854300
Horseshoe Lake,Douglas,4.29,42,T46N R10W S18 SW NW,2764100
Horseshoe Lake,Washburn,177.39,21,T42N R12W S30 SW SW,2470000
Horseshoe Lake,Chippewa,18.54,29,T31N R8W S10 SE SW,1854200
Horseshoe Lake,Bayfield,11.14,10,T48N R7W S13 NE NE,2764000
Horseshoe Lake,Polk,398.08,57,T34N R14W S6 SW SW,2630100
Horseshoe Lake,Taylor,15.22,23,T32N R1E S21 NW NE,2195400
Horseshoe Lake,Manitowoc,20.56,54,T17N R22E S20 NE SW,64200
Horseshoe Lake,Barron,113.41,19,T36N R14W S3 SW SE,2469800
Howe Lake,Chippewa,66.7,39,T30N R8W S14 NE NW,1855100
Howell Lake,Forest,170.57,16,T40N R12E S13 SW NE,691800
Hulls Lake,Taylor,67.26,35,T32N R1W S29 NW SE,1762700
Hultman Lake,Price,181.92,14,T34N R2E S25 NE NE,1513900
Humboldt Park Pond,Milwaukee,3.5,3,T6N R22E S9 SW SE,9700
Hunter Lake,Vilas,174.9,40,T41N R9E S25 SW NW,991700
Hunter Lake,Sawyer,133.69,17,T40N R5W S28 SW NW,2400600
Hunters Lake,Waukesha,53.82,36,T6N R17E S11 NW SE,826300
Ice House Lake,Polk,5.98,35,T32N R15W S18 SW NE,2623600
Ike Walton Lake,Vilas,1416.6,61,T41N R5E S12 SW SW,2321800
Ike Walton Lake,Vilas,1416.6,61,T41N R5E S12 SW SW,2321800
Inch Lake,Bayfield,30.68,40,T46N R8W S3 NE SE,2764300
Indian Lake,Sawyer,75.7,9,T40N R8W S27 NE NE,2448700
Indian Lake,Oneida,354.44,26,T39N R9E S36 SE SW,1598900
Indian Lake,Forest,9.17,20,T34N R15E S13 NE NE,478000
Indian Lake,Dane,64.16,7.5,T8N R7E S11 NW NE,1249000
Indian Lake,Langlade,15.54,21,T33N R10E S23 SW SE,991900
Indianhead Flowage,Polk,413.44,57,T34N R18W S19 SW SW,2634400
Interfalls Lake,Douglas,23.29,13,T47N R14W S21 SE SE,2838000
Iola Lake,Waupaca,220.43,9,T24N R11E S35 SW NE,278800
Irogami Lake,Waushara,289.97,5,T18N R11E S6 NE NE,103900
Iron Lake,Bayfield,247.19,20,T47N R9W S24 SW NE,2877000
Island Lake,Oneida,304.51,26,T39N R11E S29 NE SW,1610500
Island Lake,Price,29.45,15,T40N R2E S15 NE SW,2260900
Island Lake,Dane,9.95,5.5,T5N R10E S3 NE SE,776900
Island Lake,Rusk,542.64,54,T33N R8W S21 SW SE,2350200
Island Lake,Iron,344.25,17,T44N R2E S19 NW SE,2945500
Island Lake,Vilas,865.23,35,T42N R5E S13 NE NE,2334400
Island Lake,Bayfield,63.05,51,T45N R9W S17 NW NW,2470800
Island Lake,Douglas,44.97,17,T45N R11W S29 NE SW,2470900
Island Lake,Washburn,251.96,44,T40N R13W S11 SW SE,2470600
Island Lake,Sawyer,68.91,31,T39N R5W S2 SE NW,2381800
Island Lake,Bayfield,32.61,30,T47N R8W S24 SE NE,2764600
Jack Lake,Langlade,85.31,38,T33N R11E S22 NE SW,992400
Jack Pine Lake,Douglas,15.48,10,T45N R10W S22 NW SE,2471000
Jacks Lake,Chippewa,18.84,55,T32N R8W S5 SW NW,1855700
Jackson Lake,Bayfield,149.45,13,T44N R6W S33 SE SW,2734200
Jackson Park Pond,Milwaukee,7.36,8,T6N R21E S12 SW NE,15800
Jacques Lake,Sawyer,20.82,11,T37N R7W S22 SE NE,1855800
Jag Lake,Vilas,161.71,27,T42N R6E S27 SE SE,1855900
James Lake,Taylor,44.87,37,T33N R2E S15 NW NW,1468900
Jeanstow Lake,Chippewa,7.51,30,T32N R9W S36 NE NW,1856300
Jennie Webber Lake,Oneida,236.71,8,T38N R9E S35 SE SW,1574300
Jenny Lake,Vilas,63.4,28,T43N R6E S24 SE SE,1856400
Jerms Lake,Vilas,69.04,38,T40N R5E S28 SW SW,1856500
Jerome Lake,Chippewa,8.08,33,T32N R7W S28 NE NW,2177700
Jerry Lake,Taylor,26.14,30,T32N R2W S26 SW SE,2166200
Jerry Lake,Washburn,63.61,5,T40N R13W S34 NE NE,2471100
Jersey City Flowage,Lincoln,422.83,20,T35N R6E S28 NW SW,1516000
Jessie Lake,Langlade,37.91,20,T32N R14E S16 NE SE,188700
Jetzers Lake,Sheboygan,15.74,42,T16N R22E S28 NE NW,62700
Jim Lake,Chippewa,61.9,29,T30N R8W S22 NW SE,2168800
Jim Lake,Portage,5.48,23,T22N R10E S32 SW NE,188800
Johns Lake,Waushara,70.82,41,T19N R11E S32 NE SE,245800
Johnson Falls Flowage 647,Marinette,144.76,37,T33N R19E S32 SW SW,533300
Johnson Lake,Sawyer,66.16,28,T40N R9W S36 NE SW,1856700
Johnson Lake,Vilas,84.73,42,T40N R6E S34 SW SE,1541100
Johnson Lake,Waupaca,13.14,27,T23N R11E S19 SE SE,188900
Johnson Lake,Burnett,398.87,23,T40N R16W S23 NE NW,2471600
Johnson Lake,Oneida,84.73,42,T40N R6E S34 SW SE,1541100
Johnsonville Pond,Sheboygan,9,6,T15N R22E S6 NE SW,56900
Jordan Lake,Adams,233.1,92,T15N R7E S34 NE NW,104000
Jordan Pond,Portage,83.53,7,T24N R8E S12 SW NE,1403600
Joyce Lake,Vilas,28,45,T42N R9E S15 NE SE,993300
Julia Lake,Forest,404.22,45,T38N R11E S1 SE SE,1614300
Julia Lake,Oneida,404.22,45,T38N R11E S1 SE SE,1614300
Juneau Park Lagoon,Milwaukee,14.14,6,T7N R22E S28 NE NW,44600
Jungle Lake,Forest,179.51,14,T34N R13E S2 NE SW,377900
Jute Lake,Vilas,190.56,23,T43N R8E S33 SW SW,1857400
Kabol Lake,Iron,69.37,20,T40N R2E S2 NW SW,1857500
Kabol Lake,Price,69.37,20,T40N R2E S2 NW SW,1857500
Kaine Lake,Forest,48.99,5,T41N R13E S17 NW SE,719300
Kakagon Slough,Ashland,70.93,26,T48N R3W S4 SE SW,2891700
Kangaroo Lake,Door,1156.37,12,T29N R27E S1 SE NE,98600
Karstaedt Lake,Manitowoc,3.99,26,T17N R22E S17 SW SW,64300
Kasbaum Lake,Manitowoc,6.48,68,T18N R23E S3 NW SE,45800
Kathan Lake,Oneida,214.07,15,T39N R9E S13 SW NW,1598300
Katherine Lake,Oneida,524.22,30,T38N R6E S2 SE NE,1543300
Kathryn Lake,Taylor,63.31,58,T31N R2W S3 NW SW,2166100
Kating Lake,Waupaca,16.43,20,T24N R11E S36 SE SW,189100
Katinka Lake,Vilas,169.84,60,T43N R6E S18 NE SE,2957000
Kawaguesaga Lake,Oneida,699.76,44,T39N R6E S15 NW NE,1542300
Kazmier Lake,Forest,37.58,15,T35N R15E S18 SE NW,553800
Kekegama Lake,Washburn,128.41,24,T37N R12W S26 SW SE,2106200
Keller Lake,Waupaca,15.62,12,T25N R13E S18 NW SW,297100
Kelly Lake,Oconto,366.86,41,T29N R19E S6 SE SE,446600
Kelly Lake,Bayfield,56.47,17,T45N R9W S26 NW NE,2472000
Kentuck Lake,Forest,1001.13,40,T41N R12E S34 NE NW,716800
Kentuck Lake,Vilas,1001.13,40,T41N R12E S34 NE NW,716800
Kern Lake,Bayfield,79.37,21,T46N R7W S34 NW NW,2900500
Kettle Lake,Taylor,5.65,33,T33N R2E S17 SE SW,2201400
Kettle Lake,Chippewa,2.69,11,T31N R8W S2 NW SW,1857800
Kettle Moraine Lake,Fond du Lac,208.96,30,T14N R19E S27 NW SW,43900
Keyes Lake,Florence,194.81,74,T40N R17E S36 SE SW,672900
Kidd Lake,Marinette,20.97,15,T36N R18E S10 NE NW,587200
Kidney Lake,Barron,38.77,32,T36N R14W S27 NE SE,2081700
Kiezer Lake,Burnett,22.66,4,T40N R15W S30 SW SE,2676200
Kilby Lake,Marquette,44.46,29,T15N R10E S6 SE SW,104200
Kildare Lake,Vilas,54.3,35,T42N R11E S18 SE NE,1631700
King Lake,Forest,30.46,70,T34N R16E S13 SE SE,501700
King Lake,Marinette,30.46,70,T34N R16E S13 SE SE,501700
Kingsford Flowage Wi-Mi (491),Florence,222.52,32,T39N R19E S33 SE SW,650200
Kingsford Flowage Wi-Mi (491),Florence,222.52,32,T39N R19E S33 SE SW,650200
Kingsford Flowage Wi-Mi (491),Florence,222.52,32,T39N R19E S33 SE SW,650200
Kinney Lake,Waupaca,65.89,9,T25N R13E S8 NW SW,294900
Kirby Lake,Barron,97.66,19,T36N R14W S14 SW NE,1858200
Kleutch Lake,Taylor,27.65,15,T32N R1W S28 NW NW,1763000
Knickerbocker Lake,Chippewa,14.73,25,T32N R8W S28 SW SW,1858300
Knight Lake,Waupaca,15.27,42,T21N R11E S5 NE NE,262700
Knuteson Lake,Sawyer,63.92,17,T37N R9W S10 SE NW,2114300
Kohlhoff Lake,Forest,20.87,10,T34N R14E S22 SW SE,189300
Koonz Lake,Shawano,19.92,40,T28N R14E S13 NW NW,189500
Korth Lake,Shawano,10.36,48,T27N R17E S9 SE NW,325400
Kosciuszko Park Pond,Milwaukee,2.53,4,T6N R22E S5 SW SE,10000
Kreide Lake,Douglas,38.8,3,T43N R12W S13 NW NW,2472700
Kroening Lake,Shawano,10.2,21,T27N R13E S24 NW SE,302000
Krohns Lake,Kewaunee,18.57,38,T24N R25E S5 NE SW,94700
Kuehn Lake,Vilas,3.17,38,T40N R8E S15 NE SE,994200
Kusel Lake,Waushara,73.73,29,T20N R11E S26 SW SW,189600
L Bass Lake,Vilas,15.77,46,T40N R6E S26 SE SW,998300
LaFaye Lake,Marinette,51.39,38,T37N R17E S5 SE NW,502000
LaRose Lake,Chippewa,11.9,20,T32N R7W S15 NW NE,2186200
Lac Courte Oreilles,Sawyer,5139.43,90,T39N R8W S6 SE NE,2390800
Lac La Belle,Waukesha,1153.72,45,T8N R17E S32 NW NW,848800
Lac Sault Dore,Price,600.81,21,T37N R2W S11 NE SW,2236800
Lac Vieux Desert,Vilas,4017.28,38,T42N R11E S17 NW SE,1631900
Lac Vieux Desert,Vilas,4017.28,38,T42N R11E S17 NW SE,1631900
Lac Vieux Desert,Vilas,4017.28,38,T42N R11E S17 NW SE,1631900
Lac Vieux Desert,Vilas,4017.28,38,T42N R11E S17 NW SE,1631900
Lac du Lune,Vilas,441.7,68,T42N R9E S9 SW SW,2766200
Ladysmith Flowage,Rusk,267.96,19,T34N R6W S2 NW NE,2228700
Lake Adelaide,Vilas,57.23,69,T44N R5E S32 SE NW,1831700
Lake Arrowhead,Adams,295.11,30,T20N R5E S13 NW NW,1377700
Lake Belle View,Dane,87.87,7,T5N R8E S34 SW NE,886000
Lake Beulah,Walworth,812.05,58,T4N R18E S4 NW SW,766600
Lake Bingo,Portage,6.94,21,T22N R10E S16 NE NE,189700
Lake Bullhead,Bayfield,8.25,40,T46N R7W S8 NE SW,2765300
Lake Buteau,Lincoln,51.08,50,T34N R8E S10 SE SW,994400
Lake Butte des Morts,Winnebago,8580.72,9,T18N R16E S10 SE SW,139900
Lake Chetac,Sawyer,2399.59,26,T37N R9W S19 NE NW,2113300
Lake Chetek,Barron,923.37,22,T33N R10W S30 SE NE,2094000
Lake Chippewa,Sawyer,14593,92,T39N R6W S2 SE NW,2399700
Lake Clara,Lincoln,83.57,37,T35N R7E S14 SE SE,994700
Lake Content,Vilas,239,42,T40N R8E S29 NE NE,1592000
Lake Delta,Bayfield,167.24,30,T46N R7W S7 SW SE,2901700
Lake Denoon,Racine,167.16,55,T4N R20E S5 NW NW,761300
Lake Denoon,Waukesha,167.16,55,T4N R20E S5 NW NW,761300
Lake Desair,Barron,79.48,33,T35N R11W S6 NE NW,2104500
